Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
2019-05-02 00:00:00,474877,18296275,38.8,38.95,38.15,38.2,-0.6,331
2019-05-03 00:00:00,284939,10912806,38.2,38.5,38.05,38.4,0.2,202
2019-05-06 00:00:00,584808,21817588,38.0,38.0,37.0,37.2,-1.2,387
2019-05-07 00:00:00,273857,10224948,37.15,37.6,37.15,37.3,0.1,194
2019-05-08 00:00:00,400955,14726840,36.9,36.9,36.6,36.75,-0.55,271
2019-05-09 00:00:00,782000,28243800,36.65,36.95,35.4,35.75,-1.0,382
2019-05-10 00:00:00,357757,12875302,35.75,36.75,35.75,35.9,0.15,193
2019-05-13 00:00:00,218000,7938600,36.4,36.8,36.0,36.1,0.2,175
2019-05-14 00:00:00,253226,9055351,35.4,36.3,35.2,36.3,0.2,169
2019-05-15 00:00:00,264025,9682075,36.55,37.2,36.3,36.7,0.4,179
2019-05-16 00:00:00,506000,18095750,36.7,36.7,35.25,35.65,-1.05,303
2019-05-17 00:00:00,357054,12572201,35.65,35.95,35.0,35.05,-0.6,246
2019-05-20 00:00:00,375439,12940128,34.65,35.0,34.2,34.2,-0.85,206
2019-05-21 00:00:00,353000,12180450,33.65,35.15,33.65,35.0,0.8,237
2019-05-22 00:00:00,267020,9328449,35.4,35.4,34.55,34.95,-0.05,171
2019-05-23 00:00:00,175263,6019326,34.75,34.75,34.05,34.7,-0.25,131
