Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
2015-03-02 00:00:00,151051,2635178,17.5,17.55,17.4,17.5,0.0,100
2015-03-03 00:00:00,197852,3443075,17.5,17.6,17.3,17.4,-0.1,140
2015-03-04 00:00:00,180887,3160225,17.4,17.55,17.4,17.5,0.1,134
2015-03-05 00:00:00,172001,3003059,17.5,17.55,17.4,17.5,0.0,80
2015-03-06 00:00:00,297814,5179643,17.4,17.45,17.35,17.45,-0.05,146
2015-03-09 00:00:00,129544,2251726,17.45,17.45,17.35,17.35,-0.1,94
2015-03-10 00:00:00,143455,2483438,17.35,17.35,17.3,17.3,-0.05,106
2015-03-11 00:00:00,132392,2286351,17.2,17.35,17.2,17.25,-0.05,98
2015-03-12 00:00:00,168667,2910364,17.25,17.3,17.2,17.25,0.0,104
2015-03-13 00:00:00,126261,2173782,17.25,17.3,17.15,17.25,0.0,92
2015-03-16 00:00:00,116667,2005779,17.3,17.3,17.15,17.15,-0.1,118
2015-03-17 00:00:00,223094,3826852,17.15,17.2,17.1,17.15,0.0,140
2015-03-18 00:00:00,332784,5778654,17.25,17.45,17.25,17.4,0.25,200
2015-03-19 00:00:00,433516,7607981,17.5,17.6,17.5,17.6,0.2,250
2015-03-20 00:00:00,293688,5155114,17.6,17.65,17.5,17.6,0.0,166
2015-03-23 00:00:00,535594,9377558,17.6,17.65,17.4,17.5,-0.1,192
2015-03-24 00:00:00,172051,3011275,17.5,17.55,17.45,17.55,0.05,99
2015-03-25 00:00:00,167395,2934476,17.6,17.6,17.45,17.5,-0.05,130
2015-03-26 00:00:00,228519,4007667,17.55,17.6,17.5,17.5,0.0,147
2015-03-27 00:00:00,130572,2288143,17.6,17.6,17.45,17.55,0.05,100
2015-03-30 00:00:00,114066,2002427,17.55,17.6,17.5,17.55,0.0,124
2015-03-31 00:00:00,220993,3889611,17.6,17.65,17.5,17.6,0.05,124
2015-03-02 00:00:00,151051,2635178,17.5,17.55,17.4,17.5,0.0,100
2015-03-03 00:00:00,197852,3443075,17.5,17.6,17.3,17.4,-0.1,140
2015-03-04 00:00:00,180887,3160225,17.4,17.55,17.4,17.5,0.1,134
2015-03-05 00:00:00,172001,3003059,17.5,17.55,17.4,17.5,0.0,80
2015-03-06 00:00:00,297814,5179643,17.4,17.45,17.35,17.45,-0.05,146
2015-03-09 00:00:00,129544,2251726,17.45,17.45,17.35,17.35,-0.1,94
2015-03-10 00:00:00,143455,2483438,17.35,17.35,17.3,17.3,-0.05,106
2015-03-11 00:00:00,132392,2286351,17.2,17.35,17.2,17.25,-0.05,98
2015-03-12 00:00:00,168667,2910364,17.25,17.3,17.2,17.25,0.0,104
2015-03-13 00:00:00,126261,2173782,17.25,17.3,17.15,17.25,0.0,92
2015-03-16 00:00:00,116667,2005779,17.3,17.3,17.15,17.15,-0.1,118
2015-03-17 00:00:00,223094,3826852,17.15,17.2,17.1,17.15,0.0,140
2015-03-18 00:00:00,332784,5778654,17.25,17.45,17.25,17.4,0.25,200
2015-03-19 00:00:00,433516,7607981,17.5,17.6,17.5,17.6,0.2,250
2015-03-20 00:00:00,293688,5155114,17.6,17.65,17.5,17.6,0.0,166
2015-03-23 00:00:00,535594,9377558,17.6,17.65,17.4,17.5,-0.1,192
2015-03-24 00:00:00,172051,3011275,17.5,17.55,17.45,17.55,0.05,99
2015-03-25 00:00:00,167395,2934476,17.6,17.6,17.45,17.5,-0.05,130
2015-03-26 00:00:00,228519,4007667,17.55,17.6,17.5,17.5,0.0,147
2015-03-27 00:00:00,130572,2288143,17.6,17.6,17.45,17.55,0.05,100
2015-03-30 00:00:00,114066,2002427,17.55,17.6,17.5,17.55,0.0,124
2015-03-31 00:00:00,220993,3889611,17.6,17.65,17.5,17.6,0.05,124
2015-04-01 00:00:00,190442,3350327,17.6,17.65,17.55,17.6,0.0,86
2015-04-02 00:00:00,197085,3473630,17.65,17.65,17.55,17.65,0.05,109
2015-04-07 00:00:00,115648,2037895,17.65,17.65,17.6,17.6,-0.05,136
2015-04-08 00:00:00,121468,2126412,17.5,17.6,17.45,17.6,0.0,134
2015-04-09 00:00:00,113097,1992342,17.55,17.65,17.55,17.65,0.05,75
2015-04-10 00:00:00,289287,5084943,17.7,17.7,17.5,17.55,-0.1,101
2015-04-13 00:00:00,148595,2597516,17.6,17.6,17.45,17.45,-0.1,112
2015-04-14 00:00:00,477303,8296188,17.4,17.5,17.3,17.35,-0.1,187
2015-04-15 00:00:00,143238,2498008,17.35,17.55,17.35,17.4,0.05,93
2015-04-16 00:00:00,158193,2755061,17.55,17.55,17.4,17.5,0.1,103
2015-04-17 00:00:00,151713,2657770,17.4,17.55,17.4,17.55,0.05,85
2015-04-20 00:00:00,115882,2024979,17.45,17.55,17.4,17.5,-0.05,90
2015-04-21 00:00:00,162696,2841932,17.55,17.55,17.4,17.4,-0.1,85
2015-04-22 00:00:00,158217,2751473,17.5,17.5,17.35,17.4,0.0,69
2015-04-23 00:00:00,294469,5144028,17.4,17.55,17.35,17.5,0.1,125
2015-04-24 00:00:00,191552,3362902,17.5,17.6,17.5,17.5,0.0,144
2015-04-27 00:00:00,510825,8955339,17.5,17.6,17.45,17.5,0.0,208
2015-04-28 00:00:00,3568194,64895621,17.5,18.4,17.5,18.3,0.8,1180
2015-04-29 00:00:00,1568661,28406307,18.3,18.3,17.95,18.0,-0.3,636
2015-04-30 00:00:00,1773305,32516453,18.0,18.5,18.0,18.5,0.5,742
2015-05-04 00:00:00,2306139,42946837,18.7,18.8,18.35,18.35,-0.15,751
2015-05-05 00:00:00,1341697,24375171,18.35,18.5,17.95,18.4,0.05,543
