Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
2010-01-04 00:00:00,3451158,79718934,23.6,23.9,22.55,23.0,-0.7,1177
2010-01-05 00:00:00,3182097,71914062,23.0,23.3,22.0,22.3,-0.7,1112
2010-01-06 00:00:00,3810057,85995255,22.3,23.1,22.0,22.25,-0.05,1078
2010-01-07 00:00:00,2399077,53516694,22.55,22.7,21.8,22.05,-0.2,906
2010-01-08 00:00:00,1996098,43083857,22.0,22.3,21.15,21.6,-0.45,701
2010-01-11 00:00:00,1984005,42774101,21.95,22.0,21.3,21.4,-0.2,680
2010-01-12 00:00:00,6999489,155747367,21.4,22.85,21.2,22.85,1.45,2058
2010-01-13 00:00:00,11130336,262484178,22.85,24.0,22.4,23.1,0.25,3235
2010-01-14 00:00:00,9710516,238443982,23.75,24.7,23.4,24.7,1.6,2320
2010-01-15 00:00:00,12029231,311337697,25.4,26.3,25.15,26.0,1.3,3638
2010-01-18 00:00:00,9533580,248741821,26.0,26.6,25.25,25.75,-0.25,2927
2010-01-19 00:00:00,5484801,141205287,25.5,26.3,25.35,25.55,-0.2,1604
2010-01-20 00:00:00,3024758,77547000,26.1,26.2,25.1,25.3,-0.25,1018
2010-01-21 00:00:00,2640094,64101333,24.7,25.3,23.6,24.0,-1.3,1028
2010-01-22 00:00:00,2930090,70184077,23.0,25.0,23.0,24.7,0.7,1061
2010-01-25 00:00:00,1813088,44033717,24.7,24.9,23.7,24.55,-0.15,702
2010-01-26 00:00:00,2597005,61138363,24.55,24.8,22.85,22.85,-1.7,931
2010-01-27 00:00:00,1445507,31781654,22.85,23.0,21.3,22.0,-0.85,611
2010-01-28 00:00:00,1227798,27685102,21.8,22.8,21.8,22.65,0.65,530
2010-01-29 00:00:00,1744984,39476482,22.0,23.45,21.7,23.1,0.45,685
2010-02-01 00:00:00,5821192,140549778,23.1,24.7,23.1,24.55,1.45,1909
2010-02-02 00:00:00,5061328,125430737,25.2,25.6,24.0,24.05,-0.5,1689
2010-02-03 00:00:00,9505828,242169321,24.5,25.7,24.3,25.7,1.65,2644
2010-02-04 00:00:00,16564345,435464327,26.0,26.8,25.7,26.05,0.35,4581
2010-02-05 00:00:00,4024344,97989889,24.25,25.15,24.25,24.25,-1.8,1277
2010-02-06 00:00:00,3358851,77078315,23.7,24.25,22.6,22.7,-1.55,1212
2010-02-08 00:00:00,3320029,77596319,22.9,24.0,22.0,23.2,0.5,1368
2010-02-09 00:00:00,3917882,94174491,23.2,24.75,23.2,24.3,1.1,1458
2010-02-10 00:00:00,4628220,115115094,24.7,25.3,24.3,24.3,0.0,1576
2010-02-22 00:00:00,2827046,67497239,25.1,25.2,23.4,23.7,-0.6,1105
2010-02-23 00:00:00,6220660,155549876,23.5,25.35,23.5,25.35,1.65,2002
2010-02-24 00:00:00,13831882,367250818,25.35,27.1,25.05,26.6,1.25,4041
2010-02-25 00:00:00,12962107,350980704,27.0,27.85,26.3,26.9,0.3,4436
2010-02-26 00:00:00,11046283,307690437,27.3,28.45,27.0,28.05,1.15,4321
2010-03-01 00:00:00,6919207,192876563,28.45,28.7,27.2,28.1,0.05,2757
2010-03-02 00:00:00,9132943,252980366,28.4,28.65,27.0,28.0,-0.1,3000
2010-03-03 00:00:00,5250811,147294510,28.0,28.5,27.6,27.95,-0.05,1928
2010-03-04 00:00:00,11860066,339446198,28.2,29.15,27.95,28.15,0.2,4269
2010-03-05 00:00:00,4701447,133571022,29.0,29.0,28.05,28.1,-0.05,1804
2010-03-08 00:00:00,4156119,116161569,28.15,28.45,27.6,27.7,-0.4,1577
2010-03-09 00:00:00,8483163,244002799,28.0,29.2,27.7,29.0,1.3,3271
2010-03-10 00:00:00,5014080,146619039,29.3,29.8,28.7,28.95,-0.05,2117
2010-03-11 00:00:00,2265374,64901106,29.2,29.35,28.35,28.35,-0.6,977
2010-03-12 00:00:00,2119576,59783965,28.8,28.8,28.0,28.15,-0.2,951
2010-03-15 00:00:00,2380562,67636766,28.0,28.85,28.0,28.15,0.0,992
2010-03-16 00:00:00,11305501,336439180,28.75,30.1,28.35,30.05,1.9,3496
2010-03-17 00:00:00,6661938,200902664,30.3,30.65,29.7,30.4,0.35,2450
2010-03-18 00:00:00,4819923,147791590,30.4,31.2,30.0,30.05,-0.35,1935
2010-03-19 00:00:00,6287639,193276469,30.05,31.25,30.0,30.4,0.35,2283
2010-03-22 00:00:00,12324178,392804314,30.6,32.5,30.5,32.05,1.65,3634
2010-03-23 00:00:00,7023578,220562547,32.05,32.5,31.0,31.0,-1.05,2473
2010-03-24 00:00:00,3455667,106264989,31.0,31.7,30.4,30.5,-0.5,1396
2010-03-25 00:00:00,2868300,87585682,30.5,30.8,30.3,30.55,0.05,941
2010-03-26 00:00:00,2788500,86554724,30.8,31.5,30.55,30.55,0.0,1132
2010-03-29 00:00:00,5726009,170695909,30.6,30.9,29.35,29.55,-1.0,2046
2010-03-30 00:00:00,5800627,168760183,28.8,29.65,28.5,29.3,-0.25,2046
2010-03-31 00:00:00,6464999,195418067,29.3,30.75,29.3,30.0,0.7,2392
2010-04-01 00:00:00,2883968,86171055,30.2,30.7,29.6,29.6,-0.4,1003
2010-04-02 00:00:00,3909720,118329709,29.7,30.75,29.7,30.1,0.5,1598
2010-04-06 00:00:00,2551594,76132249,30.3,30.4,29.6,30.0,-0.1,888
2010-04-07 00:00:00,3783885,112622022,30.0,30.25,29.5,29.6,-0.4,1124
2010-04-08 00:00:00,5536491,165128789,30.3,30.6,28.7,29.2,-0.4,1867
2010-04-09 00:00:00,8207865,228853707,29.0,29.35,27.2,28.1,-1.1,2886
2010-04-12 00:00:00,2659309,73461709,28.1,28.1,27.2,27.75,-0.35,1065
2010-04-13 00:00:00,2820284,79357139,27.75,28.6,27.6,28.5,0.75,1189
2010-04-14 00:00:00,7276192,216738435,29.5,30.2,29.2,30.0,1.5,2674
2010-04-15 00:00:00,11395000,353311224,30.7,31.95,29.85,31.3,1.3,3826
2010-04-16 00:00:00,12896670,420170284,32.0,33.1,31.8,31.95,0.65,4144
2010-04-19 00:00:00,4648139,143568603,31.5,31.95,29.8,29.9,-2.05,1685
2010-04-20 00:00:00,4614383,143706232,30.5,31.95,30.2,31.95,2.05,1660
2010-04-21 00:00:00,9316881,309106087,32.8,33.8,32.6,32.8,0.85,3357
2010-04-22 00:00:00,11846214,400788844,32.95,34.35,32.9,34.05,1.25,4300
2010-04-23 00:00:00,14071876,487056041,34.55,35.3,33.1,34.15,0.1,4533
2010-04-26 00:00:00,6148708,209291294,34.5,34.6,33.5,33.8,-0.35,1921
2010-04-27 00:00:00,2974470,99506947,33.8,34.0,32.6,33.3,-0.5,1212
2010-04-28 00:00:00,3886708,128813926,31.5,33.9,31.5,33.9,0.6,1468
2010-04-29 00:00:00,2956946,99989678,34.8,34.8,33.0,33.0,-0.9,1179
2010-04-30 00:00:00,3482239,114953398,33.7,33.85,32.0,32.2,-0.8,1260
2010-05-03 00:00:00,2146028,68173146,32.0,32.6,31.5,31.8,-0.4,703
2010-05-04 00:00:00,3253565,105591715,32.4,32.95,31.95,32.6,0.8,1291
2010-05-05 00:00:00,1964189,62684132,32.0,32.5,31.1,32.2,-0.4,785
2010-05-06 00:00:00,2262324,71497431,32.0,32.45,30.65,30.7,-1.5,833
2010-05-07 00:00:00,3905280,114570631,28.8,30.7,28.6,30.6,-0.1,1349
2010-05-10 00:00:00,2745607,84659084,30.6,31.5,30.0,31.2,0.6,1158
2010-05-11 00:00:00,5321475,170699159,31.8,32.8,31.2,32.45,1.25,1806
