Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
2010-01-04 00:00:00,1878000,53802000,28.65,28.65,28.65,28.65,1.85,531
2010-01-05 00:00:00,9431000,268165000,30.65,30.65,26.65,26.65,-2.0,3303
2010-01-06 00:00:00,5691000,145077000,25.7,26.4,24.95,25.5,-1.15,1773
2010-01-07 00:00:00,4971000,124789000,25.65,26.3,23.9,23.9,-1.6,1644
2010-01-08 00:00:00,7154000,174115000,24.0,25.45,23.15,25.0,1.1,2362
2010-01-11 00:00:00,2427000,59045000,25.0,25.4,23.5,23.5,-1.5,1037
2010-01-12 00:00:00,2324000,57173000,23.7,25.1,23.7,25.1,1.6,917
2010-01-13 00:00:00,5982000,154761000,25.8,26.25,25.2,25.6,0.5,2437
2010-01-14 00:00:00,2472000,63106000,25.7,26.2,25.05,25.2,-0.4,1181
2010-01-15 00:00:00,2586000,68333000,25.0,26.95,25.0,26.95,1.75,903
2010-01-18 00:00:00,1866000,53213000,28.3,28.8,27.35,28.8,1.85,572
2010-01-19 00:00:00,9088000,258969000,30.8,30.8,26.8,26.8,-2.0,2889
2010-01-20 00:00:00,3441000,89353000,26.6,27.05,25.1,25.5,-1.3,1314
2010-01-21 00:00:00,7001000,186135000,25.5,27.25,25.5,25.9,0.4,2183
2010-01-22 00:00:00,2989000,77247000,25.4,26.5,25.15,26.1,0.2,1220
2010-01-25 00:00:00,2262000,56624000,25.65,26.1,24.3,24.3,-1.8,829
2010-01-26 00:00:00,2629000,60858000,23.5,24.4,22.6,22.6,-1.7,921
2010-01-27 00:00:00,1507000,32593000,22.0,22.5,21.05,21.05,-1.55,678
2010-01-28 00:00:00,1079000,23520000,20.3,22.5,20.3,22.5,1.45,387
2010-01-29 00:00:00,2789000,63762000,22.45,23.5,21.85,22.85,0.35,1242
2010-02-01 00:00:00,913000,20887000,23.25,23.3,22.5,22.6,-0.25,416
2010-02-02 00:00:00,981000,21984000,23.3,23.3,21.5,21.5,-1.1,429
2010-02-03 00:00:00,2346000,53372000,21.95,23.0,21.85,23.0,1.5,927
2010-02-04 00:00:00,1172000,26800000,22.8,23.4,22.5,22.8,-0.2,556
2010-02-05 00:00:00,1073000,23182000,21.8,22.25,21.25,21.3,-1.5,433
2010-02-06 00:00:00,680000,14178000,21.4,21.9,19.85,20.3,-1.0,398
2010-02-08 00:00:00,960000,20191000,20.5,21.65,20.35,20.5,0.2,456
2010-02-09 00:00:00,566000,11998000,20.95,21.5,20.8,21.25,0.75,310
2010-02-10 00:00:00,1056000,23410000,22.6,22.6,21.7,21.9,0.65,434
2010-02-22 00:00:00,1605000,36844000,22.5,23.4,21.9,23.4,1.5,617
2010-02-23 00:00:00,3864000,94883000,24.8,25.0,23.6,24.75,1.35,1588
2010-02-24 00:00:00,1369000,33887000,24.2,25.25,24.1,24.65,-0.1,710
2010-02-25 00:00:00,1327000,32005000,24.65,25.1,23.15,23.4,-1.25,644
2010-02-26 00:00:00,687000,16282000,23.55,24.15,23.45,23.45,0.05,382
2010-03-01 00:00:00,796000,19061000,23.5,24.45,23.3,23.75,0.3,349
2010-03-02 00:00:00,1898000,46479000,23.75,25.2,23.75,24.7,0.95,785
2010-03-03 00:00:00,1553000,38243000,25.2,25.25,24.0,24.15,-0.55,731
2010-03-04 00:00:00,748000,17939000,24.05,24.65,23.7,23.7,-0.45,407
2010-03-05 00:00:00,4216000,104766000,24.0,25.35,24.0,24.2,0.5,1358
2010-03-08 00:00:00,1451000,34908000,24.2,24.4,23.8,23.85,-0.35,608
2010-03-09 00:00:00,988000,24052000,24.2,24.8,23.9,24.35,0.5,524
2010-03-10 00:00:00,1032000,25227000,24.5,24.8,24.0,24.25,-0.1,507
2010-03-11 00:00:00,904000,21905000,24.25,24.6,24.0,24.0,-0.25,379
2010-03-12 00:00:00,549000,13125000,24.1,24.45,23.7,23.8,-0.2,252
2010-03-15 00:00:00,666000,15622000,23.9,24.0,23.05,23.1,-0.7,306
2010-03-16 00:00:00,390000,9111000,22.8,23.7,22.8,23.3,0.2,216
2010-03-17 00:00:00,848000,20214000,23.4,24.1,23.4,23.85,0.55,415
2010-03-18 00:00:00,820000,19733000,24.05,24.3,23.8,23.8,-0.05,353
2010-03-19 00:00:00,687000,16441000,24.0,24.15,23.8,23.8,0.0,303
2010-03-22 00:00:00,3949000,98541000,24.0,25.45,23.9,25.45,1.65,1535
2010-03-23 00:00:00,3025000,77658000,26.2,26.25,24.6,24.7,-0.75,1259
2010-03-24 00:00:00,977000,24091000,24.8,25.3,24.15,24.15,-0.55,514
2010-03-25 00:00:00,816000,20027000,24.15,24.85,23.85,24.85,0.7,452
2010-03-26 00:00:00,1734000,43843000,24.95,25.6,24.65,25.05,0.2,803
2010-03-29 00:00:00,1962000,50178000,25.1,25.95,24.9,25.0,-0.05,888
2010-03-30 00:00:00,1615000,41226000,25.6,26.15,25.05,25.2,0.2,715
2010-03-31 00:00:00,4453000,118098000,25.5,26.95,25.2,26.95,1.75,1345
2010-04-01 00:00:00,6950000,189937000,27.35,27.95,26.55,26.7,-0.25,2469
2010-04-02 00:00:00,2121000,56463000,27.0,27.35,26.0,26.15,-0.55,1049
2010-04-06 00:00:00,1136000,29443000,26.2,26.3,25.5,25.7,-0.45,554
2010-04-07 00:00:00,2247000,59675000,25.8,27.2,25.8,26.15,0.45,987
2010-04-08 00:00:00,1632000,41614000,26.2,26.45,24.9,24.95,-1.2,780
2010-04-09 00:00:00,674000,16883000,25.3,25.3,24.9,25.0,0.05,340
2010-04-12 00:00:00,672000,16894000,25.5,25.6,24.8,24.9,-0.1,345
2010-04-13 00:00:00,698000,17012000,24.6,24.85,24.1,24.2,-0.7,342
2010-04-14 00:00:00,641000,15660000,24.85,24.85,24.2,24.65,0.45,263
2010-04-15 00:00:00,727000,17830000,24.95,24.95,24.35,24.5,-0.15,361
2010-04-16 00:00:00,1124000,28091000,24.8,25.25,24.75,24.75,0.25,551
2010-04-19 00:00:00,956000,22743000,24.4,24.75,23.1,23.1,-1.65,476
2010-04-20 00:00:00,856000,20380000,23.5,24.5,23.2,24.0,0.9,399
2010-04-21 00:00:00,841000,20421000,24.0,24.75,24.0,24.2,0.2,413
2010-04-22 00:00:00,436000,10547000,24.0,24.6,24.0,24.25,0.05,207
2010-04-23 00:00:00,1883000,46806000,24.35,25.4,24.0,24.7,0.45,746
2010-04-26 00:00:00,712000,17465000,25.0,25.0,24.3,24.3,-0.4,356
2010-04-27 00:00:00,296000,7175000,24.3,24.5,24.05,24.05,-0.25,205
2010-04-28 00:00:00,538000,12701000,23.3,23.8,23.3,23.7,-0.35,252
2010-04-29 00:00:00,383000,9140000,24.3,24.3,23.7,23.7,0.0,237
2010-04-30 00:00:00,717000,16745000,23.95,24.2,22.9,23.0,-0.7,342
2010-05-03 00:00:00,368000,8391000,23.3,23.3,22.7,22.7,-0.3,181
2010-05-04 00:00:00,260000,5943000,23.2,23.2,22.6,22.6,-0.1,150
2010-05-05 00:00:00,604000,12962000,22.0,22.05,21.05,21.1,-1.5,271
2010-05-06 00:00:00,395000,8447000,21.1,21.85,20.8,21.25,0.15,252
2010-05-07 00:00:00,1801000,39724000,20.8,22.7,20.8,22.7,1.45,790
2010-05-10 00:00:00,1921000,44373000,22.7,23.5,22.7,23.05,0.35,624
2010-05-11 00:00:00,801000,18305000,23.05,23.25,22.4,22.4,-0.65,417
2010-05-12 00:00:00,656000,14952000,22.6,23.25,22.4,22.45,0.05,344
2010-05-13 00:00:00,422000,9665000,22.85,23.15,22.6,22.8,0.35,209
2010-05-14 00:00:00,413000,9359000,22.55,22.85,22.3,22.7,-0.1,185
2010-05-17 00:00:00,395000,8745000,22.4,22.5,22.0,22.0,-0.7,182
2010-05-18 00:00:00,333000,7278000,22.3,22.45,21.2,21.4,-0.6,185
2010-05-19 00:00:00,260000,5551000,21.5,21.6,21.05,21.55,0.15,156
2010-05-20 00:00:00,460000,9912000,21.6,21.95,21.0,21.0,-0.55,249
2010-05-21 00:00:00,713000,13982000,19.55,20.0,19.55,19.7,-1.3,342
2010-05-24 00:00:00,356000,7154000,20.3,20.3,19.8,20.1,0.4,178
2010-05-25 00:00:00,440000,8360000,20.0,20.0,18.7,18.7,-1.4,239
2010-05-26 00:00:00,392000,7336000,18.75,19.15,18.45,18.8,0.1,201
2010-05-27 00:00:00,311000,6011000,18.8,19.8,18.8,19.45,0.65,199
2010-05-28 00:00:00,289000,5738000,19.8,20.2,19.55,19.55,0.1,166
2010-05-31 00:00:00,221000,4306000,19.4,19.7,19.25,19.6,0.05,122
2010-06-01 00:00:00,999000,20663000,19.65,20.95,19.6,20.95,1.35,415
2010-06-02 00:00:00,2735000,59036000,20.95,22.3,20.8,22.05,1.1,1229
2010-06-03 00:00:00,1075000,23527000,22.45,22.6,21.05,21.6,-0.45,510
2010-06-04 00:00:00,669000,14563000,21.6,22.25,21.4,21.4,-0.2,388
2010-06-07 00:00:00,517000,10513000,20.7,20.7,20.05,20.15,-1.25,295
2010-06-08 00:00:00,444000,9092000,20.15,20.85,20.15,20.45,0.3,193
2010-06-09 00:00:00,516000,10176000,20.65,20.8,19.05,19.3,-1.15,258
2010-06-10 00:00:00,255000,4959000,19.6,19.65,19.15,19.35,0.05,146
2010-06-11 00:00:00,354000,7018000,19.8,20.0,19.6,19.95,0.6,171
2010-06-14 00:00:00,264000,5340000,20.0,20.5,19.95,20.25,0.3,188
2010-06-15 00:00:00,234000,4742000,20.4,20.45,20.1,20.2,-0.05,111
2010-06-17 00:00:00,821000,17053000,20.4,21.3,20.2,20.8,0.6,374
2010-06-18 00:00:00,394000,8117000,20.8,20.9,20.25,20.55,-0.25,187
